description,keywords,name,no_of_reviews,price,published_date,ratings,url,max_no_weeks_on_list,price_numeric,ratings_numeric,class_text,polarity_score
The attorney Sebastian Rudd is a “lone gunman” who hates injustice and the system and defends unpopular clients.,"['grisham', 'john', 'rudd', 'ending', 'cases', 'main', 'legal', 'sebastian', 'system', 'novels', 'entertaining', 'page', 'usual', 'law', 'police', 'kept', 'lincoln', 'collection', 'enjoyable', 'justice']",ROGUE LAWYER,9607,"['Hardcover', '$169.57', '6', 'Used', 'from', '$252.85', '13', 'New', 'from', '$165.57', 'Paperback', '$11.90', '157', 'Used', 'from', '$0.10', '25', 'New', 'from', '$9.97', '2', 'Collectible', 'from', '$5.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.0 out of 5,http://www.amazon.com/Rogue-Lawyer-John-Grisham-ebook/dp/B00UEKRTW8?tag=NYTBS-20,17,169.57,4,,0
"Detective Alex Cross returns to Starksville, N.C., his hometown, for the first time in 35 years, to help a cousin who has been accused of murder.","['patterson', 'james', 'ending', 'twists', 'turns', 'page', 'twist', 'coming', 'mystery', 'novels', 'surprise', 'usual', 'kept', 'exciting', 'turner', 'suspense', 'murder', 'nana', 'disappoint', 'seat']",CROSS JUSTICE,3034,"['Hardcover', '$16.49', '228', 'Used', 'from', '$0.49', '67', 'New', 'from', '$7.39', '9', 'Collectible', 'from', '$5.00', 'Paperback', '$11.99', '233', 'Used', 'from', '$0.97', '51', 'New', 'from', '$5.00', '2', 'Collectible', 'from', '$6.75', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-17,4.6 out of 5,http://www.amazon.com/Cross-Justice-Alex-James-Patterson/dp/0316407046?tag=NYTBS-20,9,16.49,4.6,pos,0.125
The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.,"['war', 'beautifully', 'wwii', 'blind', 'girl', 'doerr', 'lives', 'german', 'young', 'french', 'france', 'ending', 'historical', 'boy', 'chapters', 'main', 'werner', 'fiction', 'told', 'anthony']",ALL THE LIGHT WE CANNOT SEE,28199,"['Hardcover', '$11.42', '372', 'Used', 'from', '$1.99', '157', 'New', 'from', '$6.02', '23', 'Collectible', 'from', '$11.32', 'Paperback', '$13.60', '102', 'Used', 'from', '$5.00', '96', 'New', 'from', '$8.39', '1', 'Collectible', 'from', '$25.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$12.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-01-01,4.6 out of ,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20,59,11.42,4.6,neg,-0.1666666667
A psychological thriller set in the environs of London.,"['kept', 'gone', 'ending', 'mystery', 'twists', 'page', 'main', 'rachel', 'slow', 'guessing', 'turns', 'suspense', 'thriller', 'turner', 'suspenseful', 'twist', 'beginning', 'women', 'hawkins', 'finish']",THE GIRL ON THE TRAIN,58107,"['Hardcover', '$14.30', '835', 'Used', 'from', '$0.03', '171', 'New', 'from', '$2.58', '52', 'Collectible', 'from', '$2.73', 'Paperback', '$7.10', '353', 'Used', 'from', '$0.03', '101', 'New', 'from', '$0.45', '3', 'Collectible', 'from', '$4.49', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.1 out of ,http://www.amazon.com/The-Girl-Train-A-Novel-ebook/dp/B00L9B7IKE?tag=NYTBS-20,102,14.3,4.1,,0
A couple in love are threatened by secrets from the past.,"['sparks', 'nicholas', 'mystery', 'suspense', 'kept', 'romance', 'colin', 'ending', 'usual', 'maria', 'slow', 'page', 'predictable', 'twists', 'novels', 'typical', 'edge', 'thriller', 'turns', 'finish']",SEE ME,4462,"['Hardcover', '$14.71', '309', 'Used', 'from', '$1.00', '86', 'New', 'from', '$1.57', '16', 'Collectible', 'from', '$4.00', 'Paperback', '$8.71', '248', 'Used', 'from', '$0.99', '69', 'New', 'from', '$3.44', '2', 'Collectible', 'from', '$8.90', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$7.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.4 out of 5,http://www.amazon.com/See-Me-Nicholas-Sparks/dp/1455520616?tag=NYTBS-20,15,14.71,4.4,pos,0.125
"Twenty short stories, some never before published.","['king', 'stephen', 'collection', 'horror', 'mile', 'writer', 'published', 'collections', 'constant', 'master', 'novels', 'fireworks', 'previously', 'summer', 'blockade', 'tales', 'billy', 'drunken', 'scary', 'dark']",THE BAZAAR OF BAD DREAMS,1794,"['Hardcover', '$15.29', '157', 'Used', 'from', '$2.29', '87', 'New', 'from', '$6.93', '24', 'Collectible', 'from', '$9.85', 'Paperback', '$13.21', '19', 'Used', 'from', '$5.86', '34', 'New', 'from', '$7.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$10.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.4 out of 5,http://www.amazon.com/The-Bazaar-Bad-Dreams-Stories-ebook/dp/B00UDCI1AG?tag=NYTBS-20,11,15.29,4.4,,0
"In the mid-1950s, a grown-up Jean Louise Finch returns home to find that her adored father is not as perfect as she believed.","['mockingbird', 'kill', 'lee', 'harper', 'scout', 'atticus', 'south', 'jean', 'louise', 'published', 'father', 'finch', 'southern', 'racist', 'sequel', 'tkam', 'childhood', 'adult', 'disappointing', 'draft']",GO SET A WATCHMAN,11813,"['Hardcover', '$14.99', '749', 'Used', 'from', '$0.10', '206', 'New', 'from', '$1.72', '99', 'Collectible', 'from', '$3.68', 'Paperback', '$14.39', '133', 'Used', 'from', '$2.05', '91', 'New', 'from', '$5.77', '6', 'Collectible', 'from', '$12.89', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$10.49', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,3.5 out of ,http://www.amazon.com/Go-Set-Watchman-A-Novel/dp/0062409859?tag=NYTBS-20,35,14.99,3.5,pos,1
The government hit man Will Robie investigates murder charges against his estranged father in their Mississippi hometown.,"['baldacci', 'david', 'twists', 'ending', 'turns', 'reel', 'kept', 'action', 'jessica', 'page', 'mystery', 'suspense', 'father', 'twist', 'surprise', 'guessing', 'usual', 'murder', 'mississippi', 'robbie']",THE GUILTY,4319,"['Hardcover', '$12.91', '261', 'Used', 'from', '$0.49', '83', 'New', 'from', '$4.39', '23', 'Collectible', 'from', '$6.95', 'Paperback', '$9.20', '228', 'Used', 'from', '$1.06', '61', 'New', 'from', '$5.19', '9', 'Collectible', 'from', '$2.88', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-17,4.5 out of 5,http://www.amazon.com/Guilty-Will-Robie-David-Baldacci/dp/1455586439?tag=NYTBS-20,10,12.91,4.5,,0
A mystical tale of a guitar genius’s journey through 20th-century music.,"['albom', 'mitch', 'musicians', 'musical', 'musician', 'heart', 'narrator', 'magical', 'told', 'tale', 'lives', 'guitar', 'fictional', 'journey', 'beautifully', 'talent', 'fiction', 'unique', 'page', 'soul']",THE MAGIC STRINGS OF FRANKIE PRESTO,1671,"['Hardcover', '$14.00', '201', 'Used', 'from', '$0.10', '54', 'New', 'from', '$3.50', '26', 'Collectible', 'from', '$5.20', 'Paperback', '$10.45', '131', 'Used', 'from', '$1.99', '61', 'New', 'from', '$4.89', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.52', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-17,4.7 out of 5,http://www.amazon.com/The-Magic-Strings-Frankie-Presto/dp/0062294415?tag=NYTBS-20,9,14,4.7,,0
"Two sisters in World War II France: one struggling to survive in the countryside, the other joining the Resistance.","['war', 'france', 'wwii', 'hannah', 'sisters', 'french', 'women', 'kristin', 'historical', 'fiction', 'occupation', 'beautifully', 'nazi', 'page', 'heart', 'resistance', 'lives', 'sad', 'occupied', 'moving']",THE NIGHTINGALE,37320,"['Hardcover', '$14.48', '223', 'Used', 'from', '$1.44', '120', 'New', 'from', '$6.60', '11', 'Collectible', 'from', '$7.95', 'Paperback', '$10.68', '90', 'Used', 'from', '$4.13', '101', 'New', 'from', '$9.95', '3', 'Collectible', 'from', '$69.00', 'Audiobook', '$0.00', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-01-01,4.8 out of ,http://www.amazon.com/The-Nightingale-Kristin-Hannah/dp/0312577222?tag=NYTBS-20,63,14.48,4.8,neg,-0.125
